"municipio","barrio"
"Adjuntas","Barrio Pueblo"
"Adjuntas","Capáez"
"Adjuntas","Garzas"
"Adjuntas","Guayabo Dulce"
"Adjuntas","Guayo"
"Adjuntas","Guilarte"
"Adjuntas","Juan González"
"Adjuntas","Limaní"
"Adjuntas","Pellejas"
"Adjuntas","Portillo"
"Adjuntas","Portugués"
"Adjuntas","Saltillo"
"Adjuntas","Tanamá"
"Adjuntas","Vegas Abajo"
"Adjuntas","Vegas Arriba"
"Adjuntas","Yahuecas"
"Adjuntas","Yayales"
"Aguada","Asomante"
"Aguada","Atalaya"
"Aguada","Barrio Pueblo"
"Aguada","Carrizal"
"Aguada","Cerro Gordo"
"Aguada","Cruces"
"Aguada","Espinar"
"Aguada","Guanábano"
"Aguada","Guaniquilla"
"Aguada","Guayabo"
"Aguada","Jagüey"
"Aguada","Lagunas"
"Aguada","Mal Paso"
"Aguada","Mamey"
"Aguada","Marías"
"Aguada","Naranjo"
"Aguada","Piedras Blancas"
"Aguada","Río Grande"
"Aguadilla","Aguacate"
"Aguadilla","Arenales"
"Aguadilla","Barrio Pueblo"
"Aguadilla","Borinquen"
"Aguadilla","Caimital Alto"
"Aguadilla","Caimital Bajo"
"Aguadilla","Camaceyes"
"Aguadilla","Ceiba Alta"
"Aguadilla","Ceiba Baja"
"Aguadilla","Corrales"
"Aguadilla","Guerrero"
"Aguadilla","Maleza Alta"
"Aguadilla","Maleza Baja"
"Aguadilla","Montaña"
"Aguadilla","Palmar"
"Aguadilla","Victoria"
"Aguas Buenas","Bairoa"
"Aguas Buenas","Barrio Pueblo"
"Aguas Buenas","Bayamoncito"
"Aguas Buenas","Cagüitas"
"Aguas Buenas","Jagüeyes"
"Aguas Buenas","Juan Asencio"
"Aguas Buenas","Mula"
"Aguas Buenas","Mulita"
"Aguas Buenas","Sonadora"
"Aguas Buenas","Sumidero"
"Aibonito","Algarrobo"
"Aibonito","Asomante"
"Aibonito","Barrio Pueblo"
"Aibonito","Caonillas"
"Aibonito","Cuyón"
"Aibonito","Llanos"
"Aibonito","Pasto"
"Aibonito","Plata"
"Aibonito","Robles"
"Añasco","Añasco Abajo"
"Añasco","Añasco Arriba"
"Añasco","Barrio Pueblo"
"Añasco","Caguabo"
"Añasco","Caracol"
"Añasco","Carreras"
"Añasco","Casey Abajo"
"Añasco","Casey Arriba"
"Añasco","Cerro Gordo"
"Añasco","Cidra"
"Añasco","Corcovada"
"Añasco","Dagüey"
"Añasco","Espino"
"Añasco","Hatillo"
"Añasco","Humatas"
"Añasco","Marías"
"Añasco","Miraflores"
"Añasco","Ovejas"
"Añasco","Piñales"
"Añasco","Playa"
"Añasco","Quebrada Larga"
"Añasco","Río Arriba"
"Añasco","Río Cañas"
"Arecibo","Arenalejos"
"Arecibo","Arrozal"
"Arecibo","Barrio Pueblo"
"Arecibo","Cambalache"
"Arecibo","Carreras"
"Arecibo","Domingo Ruíz"
"Arecibo","Dominguito"
"Arecibo","Esperanza"
"Arecibo","Factor"
"Arecibo","Garrochales"
"Arecibo","Hato Abajo"
"Arecibo","Hato Arriba"
"Arecibo","Hato Viejo"
"Arecibo","Islote"
"Arecibo","Miraflores"
"Arecibo","Río Arriba"
"Arecibo","Sabana Hoyos"
"Arecibo","Santana"
"Arecibo","Tanamá"
"Arroyo","Ancones"
"Arroyo","Barrio Pueblo"
"Arroyo","Guásimas"
"Arroyo","Palmas"
"Arroyo","Pitahaya"
"Arroyo","Yaurel"
"Barceloneta","Barrio Pueblo"
"Barceloneta","Florida Afuera"
"Barceloneta","Garrochales"
"Barceloneta","Palmas Altas"
"Barranquitas","Barrancas"
"Barranquitas","Barrio Pueblo"
"Barranquitas","Cañabón"
"Barranquitas","Helechal"
"Barranquitas","Honduras"
"Barranquitas","Palo Hincado"
"Barranquitas","Quebrada Grande"
"Barranquitas","Quebradillas"
"Bayamón","Barrio Pueblo"
"Bayamón","Buena Vista"
"Bayamón","Cerro Gordo"
"Bayamón","Dajaos"
"Bayamón","Guaraguao Abajo"
"Bayamón","Guaraguao Arriba"
"Bayamón","Hato Tejas"
"Bayamón","Juan Sánchez"
"Bayamón","Minillas"
"Bayamón","Nuevo"
"Bayamón","Pájaros"
"Bayamón","Santa Olaya"
"Cabo Rojo","Bajura"
"Cabo Rojo","Barrio Pueblo"
"Cabo Rojo","Boquerón"
"Cabo Rojo","Guanajibo"
"Cabo Rojo","Llanos Costa"
"Cabo Rojo","Llanos Tuna"
"Cabo Rojo","Miradero"
"Cabo Rojo","Monte Grande"
"Cabo Rojo","Pedernales"
"Caguas","Bairoa"
"Caguas","Barrio Pueblo"
"Caguas","Beatriz"
"Caguas","Borinquen"
"Caguas","Cañabón"
"Caguas","Cañaboncito"
"Caguas","Río Cañas"
"Caguas","San Antonio"
"Caguas","San Salvador"
"Caguas","Tomás de Castro"
"Caguas","Turabo"
"Camuy","Abra Honda"
"Camuy","Barrio Pueblo"
"Camuy","Camuy Arriba"
"Camuy","Cibao"
"Camuy","Ciénagas"
"Camuy","Membrillo"
"Camuy","Piedra Gorda"
"Camuy","Puente"
"Camuy","Puertos"
"Camuy","Quebrada"
"Camuy","Santiago"
"Camuy","Yeguada"
"Camuy","Zanja"
"Canóvanas","Barrio Pueblo"
"Canóvanas","Canóvanas"
"Canóvanas","Cubuy"
"Canóvanas","Hato Puerco"
"Canóvanas","Lomas"
"Canóvanas","Torrecilla Alta"
"Carolina","Barrazas"
"Carolina","Barrio Pueblo"
"Carolina","Buena Vista"
"Carolina","Cacao"
"Carolina","Cangrejo Arriba"
"Carolina","Canovanillas"
"Carolina","Carruzos"
"Carolina","Cedro"
"Carolina","Martín González"
"Carolina","Sabana Abajo"
"Carolina","San Antón"
"Carolina","Santa Cruz"
"Carolina","Trujillo Bajo"
"Cataño","Barrio Pueblo"
"Cataño","Palmas"
"Cayey","Barrio Pueblo"
"Cayey","Beatriz"
"Cayey","Cedro"
"Cayey","Cercadillo"
"Cayey","Culebras Alto"
"Cayey","Culebras Bajo"
"Cayey","Farallón"
"Cayey","Guavate"
"Cayey","Jájome Alto"
"Cayey","Jájome Bajo"
"Cayey","Lapa"
"Cayey","Matón Abajo"
"Cayey","Matón Arriba"
"Cayey","Monte Llano"
"Cayey","Pasto Viejo"
"Cayey","Pedro Avila"
"Cayey","Piedras"
"Cayey","Quebrada Arriba"
"Cayey","Rincón"
"Cayey","Sumido"
"Cayey","Toíta"
"Cayey","Vegas"
"Ceiba","Barrio Pueblo"
"Ceiba","Chupacallos"
"Ceiba","Daguao"
"Ceiba","Guayacán"
"Ceiba","Machos"
"Ceiba","Quebrada Seca"
"Ceiba","Río Abajo"
"Ceiba","Saco"
"Ciales","Barrio Pueblo"
"Ciales","Cialitos"
"Ciales","Cordillera"
"Ciales","Frontón"
"Ciales","Hato Viejo"
"Ciales","Jaguas"
"Ciales","Pesas"
"Ciales","Pozas"
"Ciales","Toro Negro"
"Cidra","Arenas"
"Cidra","Barrio Pueblo"
"Cidra","Bayamón"
"Cidra","Beatriz"
"Cidra","Ceiba"
"Cidra","Certenejas"
"Cidra","Honduras"
"Cidra","Monte Llano"
"Cidra","Rabanal"
"Cidra","Rincón"
"Cidra","Río Abajo"
"Cidra","Salto"
"Cidra","Sud"
"Cidra","Toíta"
"Coamo","Barrio Pueblo"
"Coamo","Coamo Arriba"
"Coamo","Cuyón"
"Coamo","Hayales"
"Coamo","Los Llanos"
"Coamo","Palmarejo"
"Coamo","Pasto"
"Coamo","Pedro García"
"Coamo","Pulguillas"
"Coamo","San Ildefonso"
"Coamo","Santa Catalina"
"Comerío","Barrio Pueblo"
"Comerío","Cedrito"
"Comerío","Cejas"
"Comerío","Doña Elena"
"Comerío","Naranjo"
"Comerío","Palomas"
"Comerío","Piñas"
"Comerío","Río Hondo"
"Comerío","Vega Redonda"
"Corozal","Abras"
"Corozal","Barrio Pueblo"
"Corozal","Cibuco"
"Corozal","Cuchillas"
"Corozal","Dos Bocas"
"Corozal","Magueyes"
"Corozal","Maná"
"Corozal","Negros"
"Corozal","Padilla"
"Corozal","Palmarejo"
"Corozal","Palmarito"
"Corozal","Palos Blancos"
"Corozal","Pueblo"
"Culebra","Barrio Pueblo"
"Culebra","Flamenco"
"Culebra","Fraile"
"Culebra","Playa Sardinas I"
"Culebra","Playa Sardinas II"
"Culebra","San Isidro"
"Dorado","Barrio Pueblo"
"Dorado","Espinosa"
"Dorado","Higuillar"
"Dorado","Maguayo"
"Dorado","Mameyal"
"Dorado","Río Lajas"
"Fajardo","Barrio Pueblo"
"Fajardo","Cabezas"
"Fajardo","Demajagua"
"Fajardo","Florencio"
"Fajardo","Naranjo"
"Fajardo","Quebrada Fajardo"
"Fajardo","Quebrada Vueltas"
"Fajardo","Río Arriba"
"Fajardo","Sardinera"
"Florida","Florida Adentro"
"Guánica","Arena"
"Guánica","Barrio Pueblo"
"Guánica","Caño"
"Guánica","Carenero"
"Guánica","Ciénaga"
"Guánica","Ensenada"
"Guánica","Montalva"
"Guánica","Susúa Baja"
"Guayama","Algarrobo"
"Guayama","Barrio Pueblo"
"Guayama","Caimital"
"Guayama","Carite"
"Guayama","Carmen"
"Guayama","Guamaní"
"Guayama","Jobos"
"Guayama","Machete"
"Guayama","Palmas"
"Guayama","Pozo Hondo"
"Guayanilla","Barrero"
"Guayanilla","Barrio Pueblo"
"Guayanilla","Boca"
"Guayanilla","Cedro"
"Guayanilla","Consejo"
"Guayanilla","Indios"
"Guayanilla","Jagua Pasto"
"Guayanilla","Jaguas"
"Guayanilla","Llano"
"Guayanilla","Macaná"
"Guayanilla","Magas"
"Guayanilla","Pasto"
"Guayanilla","Playa"
"Guayanilla","Quebrada Honda"
"Guayanilla","Quebradas"
"Guayanilla","Rufina"
"Guayanilla","Sierra Baja"
"Guaynabo","Barrio Pueblo"
"Guaynabo","Camarones"
"Guaynabo","Frailes"
"Guaynabo","Guaraguao"
"Guaynabo","Hato Nuevo"
"Guaynabo","Mamey"
"Guaynabo","Pueblo Viejo"
"Guaynabo","Río"
"Guaynabo","Santa Rosa"
"Guaynabo","Sonadora"
"Gurabo","Barrio Pueblo"
"Gurabo","Celada"
"Gurabo","Hato Nuevo"
"Gurabo","Jaguar"
"Gurabo","Jaguas"
"Gurabo","Mamey"
"Gurabo","Masa"
"Gurabo","Navarro"
"Gurabo","Quebrada Infierno"
"Gurabo","Rincón"
"Hatillo","Aibonito"
"Hatillo","Barrio Pueblo"
"Hatillo","Bayaney"
"Hatillo","Buena Vista"
"Hatillo","Campo Alegre"
"Hatillo","Capáez"
"Hatillo","Carrizales"
"Hatillo","Corcovado"
"Hatillo","Hatillo"
"Hatillo","Naranjito"
"Hormigueros","Barrio Pueblo"
"Hormigueros","Benavente"
"Hormigueros","Guanajibo"
"Hormigueros","Hormigueros"
"Hormigueros","Jaguitas"
"Hormigueros","Lavadero"
"Humacao","Antón Ruíz"
"Humacao","Barrio Pueblo"
"Humacao","Buena Vista"
"Humacao","Candelero Abajo"
"Humacao","Candelero Arriba"
"Humacao","Cataño"
"Humacao","Collores"
"Humacao","Mabú"
"Humacao","Mambiche"
"Humacao","Mariana"
"Humacao","Punta Santiago"
"Humacao","Río Abajo"
"Humacao","Tejas"
"Isabela","Arenales Altos"
"Isabela","Arenales Bajos"
"Isabela","Bajura"
"Isabela","Barrio Pueblo"
"Isabela","Bejucos"
"Isabela","Coto"
"Isabela","Galateo Alto"
"Isabela","Galateo Bajo"
"Isabela","Guayabos"
"Isabela","Guerrero"
"Isabela","Jobos"
"Isabela","Llanadas"
"Isabela","Mora"
"Isabela","Planas"
"Jayuya","Barrio Pueblo"
"Jayuya","Coabey"
"Jayuya","Collores"
"Jayuya","Jauca"
"Jayuya","Jayuya Abajo"
"Jayuya","Mameyes Arriba"
"Jayuya","Pica"
"Jayuya","Río Grande"
"Jayuya","Saliente"
"Jayuya","Veguitas"
"Jayuya","Zamas"
"Juana Díaz","Amuelas"
"Juana Díaz","Barrio Pueblo"
"Juana Díaz","Callabo"
"Juana Díaz","Capitanejo"
"Juana Díaz","Cintrona"
"Juana Díaz","Collores"
"Juana Díaz","Emajagual"
"Juana Díaz","Guayabal"
"Juana Díaz","Jacaguas"
"Juana Díaz","Lomas"
"Juana Díaz","Río Cañas Abajo"
"Juana Díaz","Río Cañas Arriba"
"Juana Díaz","Sabana Llana"
"Juana Díaz","Tijeras"
"Juncos","Barrio Pueblo"
"Juncos","Caimito"
"Juncos","Ceiba Norte"
"Juncos","Ceiba Sur"
"Juncos","Gurabo Abajo"
"Juncos","Gurabo Arriba"
"Juncos","Lirios"
"Juncos","Mamey"
"Juncos","Valenciano Abajo"
"Juncos","Valenciano Arriba"
"Lajas","Barrio Pueblo"
"Lajas","Candelaria"
"Lajas","Costa"
"Lajas","Lajas"
"Lajas","Lajas Arriba"
"Lajas","Llanos"
"Lajas","Palmarejo"
"Lajas","Parguera"
"Lajas","París"
"Lajas","Plata"
"Lajas","Sabana Yeguas"
"Lajas","Santa Rosa"
"Lares","Barrio Pueblo"
"Lares","Bartolo"
"Lares","Buenos Aires"
"Lares","Callejones"
"Lares","Espino"
"Lares","La Torre"
"Lares","Lares"
"Lares","Mirasol"
"Lares","Pezuela"
"Lares","Piletas"
"Lares","Pueblo"
"Lares","Río Prieto"
"Las Marías","Alto Sano"
"Las Marías","Anones"
"Las Marías","Barrio Pueblo"
"Las Marías","Bucarabones"
"Las Marías","Buena Vista"
"Las Marías","Cerrote"
"Las Marías","Chamorro"
"Las Marías","Espino"
"Las Marías","Furnias"
"Las Marías","Maravilla Este"
"Las Marías","Maravilla Norte"
"Las Marías","Maravilla Sur"
"Las Marías","Naranjales"
"Las Marías","Palma Escrita"
"Las Marías","Purísima Concepción"
"Las Marías","Río Cañas"
"Las Piedras","Barrio Pueblo"
"Las Piedras","Boquerón"
"Las Piedras","Ceiba"
"Las Piedras","Collores"
"Las Piedras","El Río"
"Las Piedras","Montones"
"Las Piedras","Quebrada Arenas"
"Las Piedras","Tejas"
"Loíza","Barrio Pueblo"
"Loíza","Canóvanas"
"Loíza","Medianía Alta"
"Loíza","Medianía Baja"
"Loíza","Torrecilla Alta"
"Loíza","Torrecilla Baja"
"Luquillo","Barrio Pueblo"
"Luquillo","Juan Martín"
"Luquillo","Mameyes I"
"Luquillo","Mata de Plátano"
"Luquillo","Pitahaya"
"Luquillo","Sabana"
"Manatí","Bajura Adentro"
"Manatí","Bajura Afuera"
"Manatí","Barrio Pueblo"
"Manatí","Coto Norte"
"Manatí","Coto Sur"
"Manatí","Río Arriba Poniente"
"Manatí","Río Arriba Saliente"
"Manatí","Tierras Nuevas Poniente"
"Manatí","Tierras Nuevas Saliente"
"Maricao","Barrio Pueblo"
"Maricao","Bucarabones"
"Maricao","Indiera Alta"
"Maricao","Indiera Baja"
"Maricao","Indiera Fría"
"Maricao","Maricao Afuera"
"Maricao","Montoso"
"Maunabo","Barrio Pueblo"
"Maunabo","Calzada"
"Maunabo","Emajagua"
"Maunabo","Lizas"
"Maunabo","Matuyas Alto"
"Maunabo","Matuyas Bajo"
"Maunabo","Palo Seco"
"Maunabo","Quebrada Arenas"
"Maunabo","Talante"
"Maunabo","Tumbao"
"Mayagüez","Algarrobos"
"Mayagüez","Barrio Pueblo"
"Mayagüez","Bateyes"
"Mayagüez","Guanajibo"
"Mayagüez","Juan Alonso"
"Mayagüez","Leguísamo"
"Mayagüez","Limón"
"Mayagüez","Malezas"
"Mayagüez","Mayagüez Arriba"
"Mayagüez","Miradero"
"Mayagüez","Montoso"
"Mayagüez","Naranjales"
"Mayagüez","Quebrada Grande"
"Mayagüez","Quemado"
"Mayagüez","Río Cañas Abajo"
"Mayagüez","Río Cañas Arriba"
"Mayagüez","Río Hondo"
"Mayagüez","Rosario"
"Mayagüez","Sábalos"
"Mayagüez","Sabanetas"
"Moca","Aceitunas"
"Moca","Barrio Pueblo"
"Moca","Capá"
"Moca","Centro"
"Moca","Cerro Gordo"
"Moca","Cruz"
"Moca","Cuchillas"
"Moca","Marías"
"Moca","Naranjo"
"Moca","Plata"
"Moca","Rocha"
"Moca","Voladoras"
"Morovis","Barahona"
"Morovis","Barrio Pueblo"
"Morovis","Cuchillas"
"Morovis","Fránquez"
"Morovis","Monte Llano"
"Morovis","Morovis Norte"
"Morovis","Morovis Sud"
"Morovis","Pasto"
"Morovis","Perchas"
"Morovis","Río Grande"
"Morovis","San Lorenzo"
"Morovis","Torrecillas"
"Morovis","Unibón"
"Morovis","Vaga"
"Naguabo","Barrio Pueblo"
"Naguabo","Daguao"
"Naguabo","Duque"
"Naguabo","Húcares"
"Naguabo","Maizales"
"Naguabo","Mariana"
"Naguabo","Peña Pobre"
"Naguabo","Río"
"Naguabo","Río Blanco"
"Naguabo","Santiago y Lima"
"Naranjito","Achiote"
"Naranjito","Anones"
"Naranjito","Barrio Pueblo"
"Naranjito","Cedro Abajo"
"Naranjito","Cedro Arriba"
"Naranjito","Guadiana"
"Naranjito","Lomas"
"Naranjito","Nuevo"
"Orocovis","Ala de la Piedra"
"Orocovis","Barrio Pueblo"
"Orocovis","Barros"
"Orocovis","Bauta Abajo"
"Orocovis","Bauta Arriba"
"Orocovis","Bermejales"
"Orocovis","Botijas"
"Orocovis","Cacaos"
"Orocovis","Collores"
"Orocovis","Damián Abajo"
"Orocovis","Damián Arriba"
"Orocovis","Gato"
"Orocovis","Mata de Cañas"
"Orocovis","Orocovis"
"Orocovis","Pellejas"
"Orocovis","Sabana"
"Orocovis","Saltos"
"Patillas","Apeadero"
"Patillas","Bajo"
"Patillas","Barrio Pueblo"
"Patillas","Cacao Alto"
"Patillas","Cacao Bajo"
"Patillas","Egozcue"
"Patillas","Guardarraya"
"Patillas","Jacaboa"
"Patillas","Jagual"
"Patillas","Mamey"
"Patillas","Marín"
"Patillas","Mulas"
"Patillas","Muñoz Rivera"
"Patillas","Pollos"
"Patillas","Quebrada Arriba"
"Patillas","Ríos"
"Peñuelas","Barreal"
"Peñuelas","Barrio Pueblo"
"Peñuelas","Coto"
"Peñuelas","Cuebas"
"Peñuelas","Encarnación"
"Peñuelas","Jaguas"
"Peñuelas","Macaná"
"Peñuelas","Quebrada Ceiba"
"Peñuelas","Rucio"
"Peñuelas","Santo Domingo"
"Peñuelas","Tallaboa Alta"
"Peñuelas","Tallaboa Poniente"
"Peñuelas","Tallaboa Saliente"
"Ponce","Anón"
"Ponce","Bucaná"
"Ponce","Canas"
"Ponce","Canas Urbano"
"Ponce","Capitanejo"
"Ponce","Cerrillos"
"Ponce","Coto Laurel"
"Ponce","Cuarto"
"Ponce","Guaraguao"
"Ponce","Machuelo Abajo"
"Ponce","Machuelo Arriba"
"Ponce","Magueyes"
"Ponce","Magueyes Urbano"
"Ponce","Maragüez"
"Ponce","Marueño"
"Ponce","Monte Llano"
"Ponce","Playa"
"Ponce","Portugués"
"Ponce","Portugués Urbano"
"Ponce","Primero"
"Ponce","Quebrada Limón"
"Ponce","Quinto"
"Ponce","Real"
"Ponce","Sabanetas"
"Ponce","San Antón"
"Ponce","San Patricio"
"Ponce","Segundo"
"Ponce","Sexto"
"Ponce","Tercero"
"Ponce","Tibes"
"Ponce","Vayas"
"Quebradillas","Barrio Pueblo"
"Quebradillas","Cacao"
"Quebradillas","Charcas"
"Quebradillas","Cocos"
"Quebradillas","Guajataca"
"Quebradillas","San Antonio"
"Quebradillas","San José"
"Quebradillas","Terranova"
"Rincón","Atalaya"
"Rincón","Barrero"
"Rincón","Barrio Pueblo"
"Rincón","Calvache"
"Rincón","Cruces"
"Rincón","Ensenada"
"Rincón","Jagüey"
"Rincón","Pueblo"
"Rincón","Puntas"
"Rincón","Río Grande"
"Río Grande","Barrio Pueblo"
"Río Grande","Ciénaga Alta"
"Río Grande","Ciénaga Baja"
"Río Grande","Guzmán Abajo"
"Río Grande","Guzmán Arriba"
"Río Grande","Herreras"
"Río Grande","Jiménez"
"Río Grande","Mameyes 2"
"Río Grande","Zarzal"
"Sabana Grande","Barrio Pueblo"
"Sabana Grande","Machuchal"
"Sabana Grande","Rayo"
"Sabana Grande","Rincón"
"Sabana Grande","Santana"
"Sabana Grande","Susúa"
"Sabana Grande","Tabonuco"
"Sabana Grande","Torre"
"Salinas","Aguirre"
"Salinas","Barrio Pueblo"
"Salinas","Lapa"
"Salinas","Palmas"
"Salinas","Quebrada Yeguas"
"Salinas","Río Jueyes"
"San Germán","Ancones"
"San Germán","Barrio Pueblo"
"San Germán","Caín Alto"
"San Germán","Caín Bajo"
"San Germán","Cotuí"
"San Germán","Duey Alto"
"San Germán","Duey Bajo"
"San Germán","Guamá"
"San Germán","Hoconuco Alto"
"San Germán","Hoconuco Bajo"
"San Germán","Maresúa"
"San Germán","Minillas"
"San Germán","Retiro"
"San Germán","Rosario Alto"
"San Germán","Rosario Bajo"
"San Germán","Rosario Peñón"
"San Germán","Sabana Eneas"
"San Germán","Sabana Grande Abajo"
"San Germán","Tuna"
"San Juan","Caimito"
"San Juan","Cupey"
"San Juan","El Cinco"
"San Juan","Gobernador Piñero"
"San Juan","Hato Rey Central"
"San Juan","Hato Rey Norte"
"San Juan","Hato Rey Sur"
"San Juan","Monacillo"
"San Juan","Monacillo Urbano"
"San Juan","Oriente"
"San Juan","Pueblo"
"San Juan","Quebrada Arenas"
"San Juan","Sabana Llana Norte"
"San Juan","Sabana Llana Sur"
"San Juan","San Juan Antiguo"
"San Juan","Santurce"
"San Juan","Tortugo"
"San Juan","Universidad"
"San Lorenzo","Barrio Pueblo"
"San Lorenzo","Cayaguás"
"San Lorenzo","Cerro Gordo"
"San Lorenzo","Espino"
"San Lorenzo","Florida"
"San Lorenzo","Hato"
"San Lorenzo","Jagual"
"San Lorenzo","Quebrada"
"San Lorenzo","Quebrada Arenas"
"San Lorenzo","Quebrada Honda"
"San Lorenzo","Quemados"
"San Sebastián","Aibonito"
"San Sebastián","Alto Sano"
"San Sebastián","Bahomamey"
"San Sebastián","Barrio Pueblo"
"San Sebastián","Calabazas"
"San Sebastián","Cibao"
"San Sebastián","Cidral"
"San Sebastián","Culebrinas"
"San Sebastián","Eneas"
"San Sebastián","Guacio"
"San Sebastián","Guajataca"
"San Sebastián","Guatemala"
"San Sebastián","Hato Arriba"
"San Sebastián","Hoya Mala"
"San Sebastián","Juncal"
"San Sebastián","Magos"
"San Sebastián","Mirabales"
"San Sebastián","Perchas I"
"San Sebastián","Perchas II"
"San Sebastián","Piedras Blancas"
"San Sebastián","Pozas"
"San Sebastián","Robles"
"San Sebastián","Salto"
"San Sebastián","Sonador"
"Santa Isabel","Barrio Pueblo"
"Santa Isabel","Boca Velázquez"
"Santa Isabel","Descalabrado"
"Santa Isabel","Felicia I"
"Santa Isabel","Felicia II"
"Santa Isabel","Jauca I"
"Santa Isabel","Jauca II"
"Santa Isabel","Playa"
"Toa Alta","Barrio Pueblo"
"Toa Alta","Contorno"
"Toa Alta","Galateo"
"Toa Alta","Mucarabones"
"Toa Alta","Ortiz"
"Toa Alta","Piñas"
"Toa Alta","Quebrada Arenas"
"Toa Alta","Quebrada Cruz"
"Toa Alta","Río Lajas"
"Toa Baja","Barrio Pueblo"
"Toa Baja","Candelaria"
"Toa Baja","Media Luna"
"Toa Baja","Palo Seco"
"Toa Baja","Sabana Seca"
"Trujillo Alto","Barrio Pueblo"
"Trujillo Alto","Carraízo"
"Trujillo Alto","Cuevas"
"Trujillo Alto","Dos Bocas"
"Trujillo Alto","La Gloria"
"Trujillo Alto","Quebrada Grande"
"Trujillo Alto","Quebrada Negrito"
"Trujillo Alto","St. Just"
"Utuado","Angeles"
"Utuado","Arenas"
"Utuado","Barrio Pueblo"
"Utuado","Caguana"
"Utuado","Caniaco"
"Utuado","Caonillas Abajo"
"Utuado","Caonillas Arriba"
"Utuado","Consejo"
"Utuado","Don Alonso"
"Utuado","Guaonica"
"Utuado","Las Palmas"
"Utuado","Limón"
"Utuado","Mameyes Abajo"
"Utuado","Paso Palma"
"Utuado","Río Abajo"
"Utuado","Roncador"
"Utuado","Sabana Grande"
"Utuado","Salto Abajo"
"Utuado","Salto Arriba"
"Utuado","Santa Isabel"
"Utuado","Santa Rosa"
"Utuado","Tetuán"
"Utuado","Viví Abajo"
"Utuado","Viví Arriba"
"Vega Alta","Bajura"
"Vega Alta","Barrio Pueblo"
"Vega Alta","Candelaria"
"Vega Alta","Cienegueta"
"Vega Alta","Espinosa"
"Vega Alta","Maricao"
"Vega Alta","Mavilla"
"Vega Alta","Sabana"
"Vega Baja","Algarrobo"
"Vega Baja","Almirante Norte"
"Vega Baja","Almirante Sur"
"Vega Baja","Barrio Pueblo"
"Vega Baja","Cabo Caribe"
"Vega Baja","Ceiba"
"Vega Baja","Cibuco"
"Vega Baja","Puerto Nuevo"
"Vega Baja","Pugnado Adentro"
"Vega Baja","Pugnado Afuera"
"Vega Baja","Quebrada Arenas"
"Vega Baja","Río Abajo"
"Vega Baja","Río Arriba"
"Vega Baja","Yeguada"
"Vieques","Barrio Pueblo (Isabel II)"
"Vieques","Florida"
"Vieques","Llave"
"Vieques","Mosquito"
"Vieques","Puerto Diablo"
"Vieques","Puerto Ferro"
"Vieques","Puerto Real"
"Vieques","Punta Arenas"
"Villalba","Barrio Pueblo"
"Villalba","Caonillas Abajo"
"Villalba","Caonillas Arriba"
"Villalba","Hato Puerco Abajo"
"Villalba","Hato Puerco Arriba"
"Villalba","Vacas"
"Villalba","Villalba Abajo"
"Villalba","Villalba Arriba"
"Yabucoa","Aguacate"
"Yabucoa","Barrio Pueblo"
"Yabucoa","Calabazas"
"Yabucoa","Camino Nuevo"
"Yabucoa","Guayabota"
"Yabucoa","Jácana"
"Yabucoa","Juan Martín"
"Yabucoa","Limones"
"Yabucoa","Playa"
"Yabucoa","Tejas"
"Yauco","Aguas Blancas"
"Yauco","Algarrobo"
"Yauco","Almácigo Alto"
"Yauco","Almácigo Bajo"
"Yauco","Barina"
"Yauco","Barrio Pueblo"
"Yauco","Caimito"
"Yauco","Collores"
"Yauco","Diego Hernández"
"Yauco","Duey"
"Yauco","Frailes"
"Yauco","Jácanas"
"Yauco","Naranjo"
"Yauco","Quebradas"
"Yauco","Ranchera"
"Yauco","Río Prieto"
"Yauco","Rubias"
"Yauco","Sierra Alta"
"Yauco","Susúa Alta"
"Yauco","Susúa Baja"
"Yauco","Vegas"
